Load History,Distance to Task,Total Distance Traveled
4.0,6.771,40.491
3.0,7.146,45.387
5.0,10.709,52.894999999999996
4.0,6.48,33.603
5.0,4.462,47.262
4.0,3.983,52.533
5.0,6.476,52.894999999999996
0.0,4.883,0.0
0.0,9.27,0.0
0.0,20.252,0.0
0.0,13.74,0.0
1.0,20.425,4.883
0.0,21.512,0.0
0.0,12.995,0.0
1.0,20.16,13.74
2.0,14.813,25.308
0.0,20.162,0.0
1.0,14.496,12.995
1.0,23.428,13.74
2.0,13.545,25.308
1.0,6.745,20.162
2.0,7.283,27.491
1.0,18.296,13.74
2.0,8.693,25.308
2.0,11.851,26.907
3.0,11.858,34.774
1.0,24.203,13.74
3.0,29.685,34.001
2.0,21.957,26.907
4.0,29.861,46.632000000000005
1.0,7.775,13.74
3.0,29.028,34.001
3.0,3.662,48.864000000000004
4.0,29.328,46.632000000000005
2.0,3.221,21.515
3.0,19.227,34.001
4.0,9.976,52.526
4.0,19.651,46.632000000000005
3.0,9.901,24.736
3.0,12.297,34.001
5.0,14.528,62.502
4.0,11.873,46.632000000000005
4.0,14.652,34.637
4.0,24.935,46.298
5.0,10.956,62.502
5.0,25.606,58.505
4.0,11.08,34.637
0.0,3.675,0.0
0.0,12.924,0.0
0.0,13.059,0.0
0.0,9.052,0.0
1.0,6.613,3.675
0.0,17.578,0.0
0.0,19.91,0.0
1.0,7.059,9.052
2.0,17.089,10.288
0.0,7.166,0.0
0.0,2.512,0.0
2.0,17.701,16.111
2.0,10.994,10.288
1.0,20.046,7.166
1.0,20.01,2.512
2.0,10.382,16.111
3.0,13.476,21.282
1.0,20.106,7.166
1.0,20.443,2.512
3.0,14.001,26.493000000000002
4.0,28.881,34.758
1.0,8.733,7.166
2.0,29.273,22.955000000000002
3.0,27.541,26.493000000000002
4.0,19.385,34.758
2.0,16.365,15.899000000000001
3.0,16.544,52.228
3.0,10.907,26.493000000000002
4.0,15.786,34.758
3.0,11.088,32.263999999999996
3.0,12.82,52.228
4.0,10.934,37.400000000000006
4.0,14.904,34.758
4.0,24.929,43.352
3.0,32.854,52.228
5.0,25.35,48.334
5.0,7.938,49.662000000000006
4.0,18.32,43.352
3.0,25.104,52.228
6.0,8.042,73.684
0.0,14.479,0.0
0.0,24.171,0.0
0.0,19.431,0.0
0.0,11.784,0.0
1.0,13.716,14.479
0.0,10.288,0.0
0.0,6.003,0.0
1.0,13.583,11.784
1.0,9.356,14.479
1.0,16.537,10.288
1.0,16.133,6.003
1.0,9.489,11.784
2.0,5.709,23.835
1.0,12.152,10.288
1.0,11.749,6.003
2.0,5.185,21.273000000000003
2.0,4.325,23.835
2.0,4.103,22.439999999999998
2.0,4.187,17.752000000000002
2.0,3.859,21.273000000000003
2.0,15.544,23.835
3.0,12.336,26.543
2.0,10.627,17.752000000000002
3.0,12.606,25.132000000000005
3.0,14.18,39.379000000000005
3.0,14.056,26.543
3.0,13.639,28.379000000000005
3.0,14.285,25.132000000000005
3.0,17.797,39.379000000000005
4.0,18.863,40.599
3.0,17.468,28.379000000000005
4.0,19.179,39.417
4.0,11.835,57.176
4.0,20.251,40.599
4.0,11.968,45.84700000000001
4.0,20.235,39.417
5.0,22.84,69.011
4.0,2.849,40.599
5.0,22.249,57.81500000000001
4.0,2.533,39.417
0.0,3.74,0.0
0.0,16.998,0.0
0.0,7.047,0.0
0.0,14.218,0.0
1.0,19.356,3.74
0.0,4.623,0.0
1.0,19.983,7.047
0.0,5.312,0.0
1.0,28.18,3.74
1.0,11.385,4.623
1.0,28.807,7.047
1.0,11.308,5.312
1.0,2.794,3.74
2.0,27.932,16.008
1.0,2.409,7.047
2.0,27.882,16.62
2.0,11.764,6.534000000000001
2.0,16.343,16.008
2.0,11.495,9.456
2.0,16.293,16.62
3.0,14.149,18.298000000000002
2.0,25.254,16.008
3.0,13.716,20.951
2.0,25.304,16.62
4.0,26.84,32.447
2.0,3.491,16.008
4.0,27.12,34.667
2.0,3.441,16.62
4.0,14.968,32.447
3.0,31.557,19.499
4.0,14.647,34.667
3.0,31.219,20.061
4.0,10.434,32.447
4.0,12.695,51.056
5.0,12.692,49.314
3.0,19.199,20.061
5.0,13.612,42.881
4.0,24.982,51.056
5.0,24.979,49.314
4.0,13.041,39.260000000000005
0.0,15.405,0.0
0.0,7.596,0.0
0.0,16.898,0.0
0.0,13.095,0.0
0.0,4.883,0.0
1.0,10.231,7.596
0.0,22.602,0.0
1.0,10.689,13.095
1.0,14.324,4.883
1.0,13.573,7.596
0.0,10.93,0.0
2.0,14.319,23.784
1.0,5.17,4.883
2.0,17.127,21.169
1.0,16.851,10.93
2.0,5.465,23.784
2.0,13.42,10.053
2.0,4.744,21.169
1.0,4.22,10.93
3.0,12.937,29.249
2.0,3.724,10.053
3.0,9.699,25.913
2.0,9.941,15.149999999999999
3.0,3.241,29.249
3.0,10.558,13.777000000000001
3.0,6.607,25.913
2.0,5.99,15.149999999999999
4.0,10.883,32.49
3.0,3.59,13.777000000000001
4.0,10.671,32.52
3.0,10.842,21.14
4.0,3.807,32.49
4.0,17.839,17.367
4.0,11.828,32.52
3.0,11.957,21.14
5.0,17.827,36.297000000000004
5.0,11.16,35.206
4.0,3.89,32.52
4.0,10.777,33.097
5.0,13.318,36.297000000000004
0.0,25.187,0.0
0.0,14.862,0.0
0.0,5.283,0.0
0.0,18.808,0.0
0.0,20.994,0.0
1.0,4.862,14.862
1.0,4.624,5.283
0.0,14.088,0.0
0.0,11.718,0.0
2.0,19.557,19.724
2.0,19.443,9.907
0.0,6.496,0.0
1.0,26.744,11.718
2.0,13.533,19.724
2.0,14.02,9.907
1.0,26.597,6.496
1.0,12.247,11.718
3.0,18.467,33.257
3.0,18.667,23.927
1.0,11.894,6.496
2.0,11.866,23.965
